RANK by cap,SYMBOL,MARKET CAP,PRICE,CHANGE 1D,TRADING VOLUME,NAME,BW logo URL,White on Black,Theme color,Theme Image
270,ROIV,8.02B,10.85,6.69%,"6,587,326",Roivant Sciences,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVX4eLNwEfyfIzO_Uk1tEc2HcZH9XxClN_5w&s,,,silicon
56,CRWD,58.53B,240.52,4.27%,"6,454,892",CrowdStrike ,https://www.content.shi.com/cms-content/accelerator/media/logos/logo-crowdstrike-white.png,TRUE,,silicon
350,BILI,6.04B,14.59,-2.54%,"6,427,398",Bilibili,https://seeklogo.com/images/B/bilibili-logo-B437BF5C3E-seeklogo.com.png,,,silicon
75,KHC,42.57B,35.21,1.56%,"6,189,088",Kraft Heinz,https://seeklogo.com/images/H/h-j-heinz-company-logo-F89045A969-seeklogo.com.png,,,silicon
189,UAL,13.54B,41.18,6.24%,"6,182,748",United Airlines ,https://companieslogo.com/img/orig/UAL.D-45780229.png?t=1720244494,TRUE,,silicon
22,TXN,176.49B,193.3,5.01%,"6,109,073",Texas Instruments,https://logodix.com/logo/1998618.png,,,silicon
332,ALAB,6.42B,41.01,12.76%,"5,965,787",Astera Labs,https://www.asteralabs.com/wp-content/uploads/2022/12/AsteraLabs-WhitewBug-Hz-300x91.png,TRUE,,silicon
74,TTD,43.18B,88.27,3.96%,"5,931,907",Trade Desk,https://www.thetradedesk.com/c/visual-identity/media/db55c09bb40e21bcde891154f89c2016/icons-white-full.png,,,silicon
42,MDLZ,93.88B,70.28,1.24%,"5,918,681",Mondelez International,https://1000logos.net/wp-content/uploads/2020/09/Mondelez-Logo.jpg,,,silicon
143,WDC,19.26B,58.98,4.85%,"5,815,448",Western Digital ,https://companieslogo.com/img/orig/WDC.D-ca8ed6f6.png?t=1720244494,TRUE,,silicon
131,LI,20.93B,19.73,2.60%,"5,663,464",Li Auto,https://companieslogo.com/img/orig/LI.D-ca19aaad.png?t=1720244492,TRUE,,silicon
19,PDD,191.68B,138.02,3.66%,"5,663,350",PDD ,https://quartr.com/_next/image?url=https%3A%2F%2Ffiles.quartr.com%2Fcompany-logos%2F566f2-2023-05-26-11-51-45.png&w=256&q=100,TRUE,,silicon
104,DXCM,28.65B,71.5,3.14%,"5,450,848",DexCom,https://childrenwithdiabetes.com/wp-content/uploads/dexcom-category-logo-white-crop-1-1024x305.png,TRUE,,silicon
16,TMUS,225.90B,193.61,1.58%,"5,297,098",T-Mobile US,https://www.svgrepo.com/show/342298/t-mobile.svg,,,silicon
473,PTEN,3.49B,8.87,2.54%,"5,218,326",Patterson-UTI Energy,https://ulterra.com/wp-content/uploads/2022/05/Patterson_uti_Button_White_Rgb_900px_w_300ppi-002.png%22,TRUE,,silicon
66,DASH,51.34B,124.76,2.69%,"5,117,526",DoorDash,https://uspto.report/TM/88363301/mark.png,,,silicon
450,SBRA,3.86B,16.46,-1.20%,"5,086,205",Sabra Health Care REIT,https://companieslogo.com/img/orig/SBRA-a67c676a.png?t=1720244493,,,silicon
92,BKR,34.97B,35.2,2.80%,"5,077,290",Baker Hughes,https://aliarp.com.br/wp-content/uploads/2024/01/baker-hughes-logo-branco-1.png,TRUE,,silicon
80,JD,39.67B,25.98,2.57%,"5,026,200",JD,,,,silicon
243,XP,9.57B,17.45,4.55%,"4,951,158",XP,https://companieslogo.com/img/orig/XP-e2cdea0d.png?t=1720244494,,,silicon
70,KDP,46.83B,34.53,-0.14%,"4,909,767",Keurig Dr Pepper,https://getlogovector.com/wp-content/uploads/2020/11/keurig-dr-pepper-inc-logo-vector.png,,,silicon
14,PEP,236.76B,172.37,0.34%,"4,820,673",PepsiCo,https://static.wikia.nocookie.net/logopedia/images/1/1d/PepsiCo_logo_old_%28Print%29.svg/revision/latest?cb=20220625100656,,,silicon
213,RPRX,11.82B,26.15,-4.04%,"4,764,288",Royalty Pharma ,https://companieslogo.com/img/orig/RPRX.D-6e127a7e.png?t=1720244493,TRUE,,silicon
487,FOLD,3.35B,11.32,13.20%,"4,735,594",Amicus Therapeutics,https://uspto.report/TM/78809293/mark.png,,,silicon
68,CPRT,48.20B,50.09,1.83%,"4,644,323",Copart,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Copart-Logo-3.0-rgb.svg/1280px-Copart-Logo-3.0-rgb.svg.png,,,silicon
459,GH,3.72B,30.27,-10.87%,"4,632,321",Guardant Health,https://media.licdn.com/dms/image/C510BAQFOPPzXItZrRQ/company-logo_200_200/0/1630577577194/guardant_health_amea_logo?e=2147483647&v=beta&t=00PzFv9kQveXyKeVykUBXFqq3w6FSy0UipJmSVh_N-M,,,silicon
120,VOD,24.88B,9.4,2.29%,"4,627,259",Vodafone,https://gillcreative.co/wp-content/uploads/2021/09/Vodafone-Logo-White-768x432.png,,,silicon
255,MTCH,8.99B,34.87,-0.23%,"4,624,768",Match,https://uspto.report/TM/90668076/mark.png,,,silicon
233,APA,10.52B,28.45,5.29%,"4,623,007",APA ,https://uspto.report/TM/90539562/mark,,,silicon
442,VLY,4.07B,7.99,2.44%,"4,388,769",Valley National Bancorp,https://companieslogo.com/img/orig/VLY_BIG.D-7e91e934.png?t=1720244494,,,silicon
326,LSCC,6.52B,47.33,13.28%,"4,352,582",Lattice Semiconductor ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZV99Qrum8aWZ4l2ABFPmLWdcPBsgB9ldNfMdghBpA4QM5Oy4nwBBh0V2c2BhYkSUPfhk&usqp=CAU,,,silicon
35,ADI,106.01B,213.64,6.12%,"4,312,471",Analog Devices,https://hightechcampus.com/storage/899/ADI-Logo-large.png,,,silicon
410,APLS,4.59B,37.66,12.12%,"4,308,102",Apellis Pharmaceuticals,https://uspto.report/TM/88616568/mark,,,silicon
186,AKAM,13.95B,91.57,-1.16%,"4,203,218",Akamai Technologies,https://seeklogo.com/images/A/akamai-logo-E9C6B4967B-seeklogo.com.png,,,silicon
279,AFRM,7.79B,25.22,4.54%,"4,191,340",Affirm ,https://cdn-assets.affirm.com/images/white_logo-transparent_bg.png,TRUE,,silicon
171,NWSA,15.23B,26.78,2.84%,"4,115,104",News ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCYTv34LN8ErgZ-p4Smf5FNOKK5xL6oxD11g&s,,,silicon
